,title,address,price,bedroom,bathroom,floor,parking,property_id,property_face,build_year,views,area_covered,road_access,build_up_area,posted,amenities
27,"Villa On Sale At Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Budhanilkantha, Budhanilkantha, Kathmandu","NPR. 5,75,00,000",4,5,2,3,BN8336,East,2076,1.5K,7 Aana,22 Feet / Blacktopped,N/A Aana,2 years ago,"['Drainage', 'Parking', 'Water Supply', 'Balcony', 'Garden', 'Modular Kitchen', 'Solar Water', 'TV Cable', 'Water Tank', 'Water Well']"
28,"House For Sale In Baneshwor, Kathmandu","Canvas Boarding High School, Baneshwor, Kathmandu","NPR. 2,85,00,000",11,5,3.5,2,BN8335,South,2052,19.8K,0-4-0-0 Aana,20 Feet / Blacktopped,N/A Aana,2 years ago,"['Fencing', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'Parking']"
29,"Bungalow On Sale At New Baneshwor : House For Sale In Minbhawan, Kathmandu","New Baneshwor, Minbhawan, Kathmandu","NPR. 16,00,00,000",4,3,2,4,BN8334,South,2061,1.8K,18 Aana,32 Feet / Blacktopped,N/A Aana,2 years ago,"['Garage', 'Air Condition', 'Balcony', 'Garden', 'Microwave', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Parking']"
30,"Urgent House Sale : House For Sale In Birtamod Road, Itahari","Sarswoti tol, Birtamod Road, Itahari","NPR. 2,45,00,000 Onwards",2,2,2,1,BN8332,North West,N/A,490,7 Dhur,5 Meter,7 Dhur,2 years ago,"['Drainage', 'Parking', 'Balcony', 'Water Supply', 'TV Cable', 'Internet']"
31,"SOLD OUT : House For Sale In Budhanilkantha, Kathmandu","Ganesh Chwok, Budhanilkantha, Kathmandu","NPR. 2,45,00,000 Total price",6,4,2.5,2,BN8331,East,2076,15.1K,0-3-2-0 Aana,13 Feet / Gravelled,2200 Sq. Feet,2 years ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking']"
32,"House For Sale In Tulasipur, Dang","Tulsipur, Tulasipur, Dang","NPR. 55,00,000 Onwards",1,1,2,1,BN8326,East,2076,1K,5-17-5-17/44 Sq. Meter,7 Meter / Blacktopped,15-10 Sq. Feet,2 years ago,"['Kids Playground', 'Water Tank']"
33,"Modern European Style Bungalow In A Peaceful Area, Available For Sale, Ichangu. : House For Sale In Sitapaila, Kathmandu","Ichagu, Sitapaila, Sitapaila, Kathmandu","NPR. 2,90,00,000 Onwards",4,4,N/A,2,BN8320,West,2076,3.1K,5 Aana,15 Feet / Blacktopped,N/A Aana,2 years ago,"['Drainage', 'Parking', 'Water Supply', 'Modular Kitchen', 'Solar Water', 'Garden']"
34,"House For Sale In Bode, Bhaktapur","Mill Road Purano Thimi, Bode, Bhaktapur","NPR. 14,00,00,000",5,7,3,2,BN8316,East,2076,2.2K,22 Aana,20 Feet / Gravelled,9 Aana,2 years ago,"['Lawn', 'Drainage', 'Jacuzzi', 'Garage', 'Parking', 'Air Condition', 'Balcony', 'Deck', 'Fencing', 'Water Supply', 'Garden', 'CCTV', 'Gym', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Solar Water', 'Water Well', 'Water Tank', 'Electricity Backup', 'Intercom', 'Internet', 'Maintenance', 'Store Room']"
35,"Modern Style House At Swayambhu Available On Sale : House For Sale In Swayambhu, Kathmandu","Bhagwan Paau, Swayambhu, Kathmandu","NPR. 4,75,00,000",12,5,N/A,2,BN8310,East,2075,896,5 Aana,15 Feet / Blacktopped,N/A Aana,2 years ago,"['Drainage', 'Parking', 'Balcony', 'Water Supply', 'Solar Water', 'Wifi', 'TV Cable', 'Water Tank']"
36,"House For Sale In Lalitpur, Lalitpur","Nakhudol, Lalitpur, Lalitpur","NPR. 1,70,00,000",5,3,N/A,1,BN8309,East,2074,1.2K,Eg 3-1-2 Aana,0 Feet / Gravelled,EG 1967.268 Sq. Feet,2 years ago,['Store Room']
37,"House At Chyasal, Lalitpur (Prime Location) : House For Sale In Patan, Lalitpur","Chyasal, Patan, Lalitpur","NPR. 2,40,00,000 Onwards",7,4,4,4,BN8307,West,2066,1.2K,0-3-0-0 Aana,13 Feet,943.10 Sq. Feet,2 years ago,"['Drainage', 'Garage', 'Parking', 'Balcony', 'Water Supply', 'TV Cable', 'Wifi', 'Water Well', 'Water Tank', 'Internet']"
38,"House On Sale In Hattiban : House For Sale In Hattiban, Lalitpur","Ananda Basti, Hattiban, Hattiban, Lalitpur","NPR. 3,50,00,000",11,5,3,1,BN8305,East,2009,941,5 Aana,16 Feet / Blacktopped,3500 Sq. Feet,2 years ago,"['Parking', 'Balcony', 'Fencing', 'Water Supply', 'Solar Water', 'Water Tank']"
