Title,Full_Address,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Build Area,Posted,Amenities,City,Address,Area(Sq.Feet),Area(In Sq.Feet),Price(Float)
"Residential Cum Commercial House : House For Sale In Basantapur, Kathmandu","['Thanabahal', ' Chikanmugal-23', ' Basantapur', ' Kathmandu', ' Nepal', ' Basantapur', ' Kathmandu']",22500000,3,4,6.0,1,South East,2078.0,18.9K,0-1-0-0 Aana,10.0,2300 Aana,1 year ago,[], Kathmandu, Basantapur,342.25,342.25,22500000.0
"Residential Bungalow : House For Sale In Sirutar, Bhaktapur","['Sirutar Futsal', ' Sirutar', ' Balkot', ' Bhaktapur', ' Sirutar', ' Bhaktapur']",26000000,3,3,2.0,2,South West,2075.0,9.4K,0-5-0-0 Aana,13.0,2300 Sq. Feet,1 year ago,[], Bhaktapur, Sirutar,1711.25,1711.25,26000000.0
"House For Sale At Panipokhari Heights, Panipokhari, Lazimpat, Katmandu : House For Sale In Panipokhari, Kathmandu","['Panipokhari Heights', ' Panipokhari', ' Kathmandu']",70000000,4,0,,0,North,,1.1K,4anna 3.77 dam Aana,0.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Panipokhari,7615.0625,7615.0625,70000000.0
"Lockdown Offer House For Sale At Low Priced Rate : House For Sale In Baniyatar, Kathmandu","['Garigaun', ' Baniyatar', ' Kathmandu']",35000000,0,0,3.0,1,East,2006.0,964,4.5 Aana,20.0,4.5 Aana,1 year ago,[], Kathmandu, Baniyatar,1796.8125,1796.8125,35000000.0
"House For Sale In Boudha, Mahankal : House For Sale In Boudha, Kathmandu","['27.722922886517', ' Boudha', ' Kathmandu']",45000000,0,2,,1,East,,1.3K,6.5 Aana,0.0,N/A Aana,1 year ago,"['Parking', 'Garden', 'Water Tank', 'Store Room', 'Water Supply']", Kathmandu, Boudha,2481.3125,2481.3125,45000000.0
"House For Sale In Gongabu, Kathmandu","['Gongabu', ' Gongabu', ' Kathmandu']",90000000,0,0,,0,East,,957,1-4-3-0 Aana,12.0,0-4-0 Aana,1 year ago,"['Solar Water', 'Wifi', 'Water Supply', 'Parking', 'Balcony', 'Garden', 'Fencing', 'Washing Machine', 'TV Cable', 'Water Well', 'Water Tank', 'Electricity Backup', 'Internet']", Kathmandu, Gongabu,7101.6875,7101.6875,90000000.0
"Private : House For Sale In Koteshwor, Kathmandu","['Suryakot', ' krishna gali', ' Koteshwor', ' Kathmandu']",25000000,0,4,4.0,0,East,,1.7K,4.2 Aana,13.0,4 Aana,1 year ago,"['Balcony', 'Water Supply', 'Drainage']", Kathmandu, Koteshwor,1540.125,1540.125,25000000.0
"House : House For Sale In Satungal, Kathmandu","['Satungal', ' Satungal', ' Kathmandu']",18900000,0,0,,0,West,,1.9K,0-3-2-0 Aana,0.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Satungal,1197.875,1197.875,18900000.0
"House : House For Sale In Jorpati, Kathmandu","['Jorpati', ' Jorpati', ' Kathmandu']",16500000,0,0,,0,East,,2.5K,0-4-0-0 Aana,13.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Jorpati,1369.0,1369.0,16500000.0
"House : House For Sale In Dhumbarahi, Kathmandu","['Dhumbarahi', ' Dhumbarahi', ' Kathmandu']",51700000,0,0,,0,East,,1.5K,0-7-1-0 Aana,0.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Dhumbarahi,2481.3125,2481.3125,51700000.0
"House : House For Sale In Gothatar, Kathmandu","['Gothatar', ' Gothatar', ' Kathmandu']",19000000,0,0,,0,East,,2.1K,0-3-0-0 Aana,13.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Gothatar,1026.75,1026.75,19000000.0
"House : House For Sale In Matatirtha, Kathmandu","['Matatirtha', ' Matatirtha', ' Kathmandu']",13500000,0,0,,0,East,,1.2K,0-3-0-0 Aana,22.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Matatirtha,1026.75,1026.75,13500000.0
"Residential : House For Sale In Kapan, Kathmandu","['Gurung Tole', ' Payautar Road', ' Kapan', ' Budhanilkantha', ' Kathmandu', ' Kapan', ' Kathmandu']",29500000,7,3,3.0,2,South,2078.0,7.1K,0-5-0-1 Aana,13.0,2600 Sq. Feet,1 year ago,"['Lawn', 'Garage', 'Balcony', 'Deck', 'Fencing', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Parking', 'Store Room']", Kathmandu, Kapan,1732.640625,1732.640625,29500000.0
"House : House For Sale In Makalbari, Kathmandu","['Makalbari', ' Makalbari', ' Kathmandu']",9500000,0,0,,0,East,,2.2K,0-3-0-0 Aana,12.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Makalbari,1026.75,1026.75,9500000.0
"House For Sale In Nakhipot, Lalitpur","['Nakhipot', ' Nakhipot', ' Lalitpur']",65000000,5,5,,2,East,,2.4K,8 Aana,0.0,N/A Sq. Feet,1 year ago,"['Water Tank', 'Internet', 'Wifi', 'Parking', 'TV Cable', 'Garden']", Lalitpur, Nakhipot,2738.0,2738.0,65000000.0
"House : House For Sale In Kalanki, Kathmandu","['Kalanki', ' Kalanki', ' Kathmandu']",28500000,0,0,,0,East,,969,0-4-2-0 Aana,16.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Kalanki,1540.125,1540.125,28500000.0
"House : House For Sale In Kadaghari, Kathmandu","['Kadaghari', ' Kadaghari', ' Kathmandu']",23500000,0,0,,0,East,,1.7K,0-4-0-0 Aana,20.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Kadaghari,1369.0,1369.0,23500000.0
"House : House For Sale In Gothatar, Kathmandu","['Gothatar', ' Gothatar', ' Kathmandu']",18000000,0,0,,0,West,,1.5K,0-3-0-0 Aana,14.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Gothatar,1026.75,1026.75,18000000.0
"Residential House : House For Sale In Budhanilkantha, Kathmandu","['New Colony', ' Ganesh Chowk', ' Budhanilkantha', ' Kathmandu', ' Budhanilkantha', ' Kathmandu']",37500000,6,5,3.0,2,North,2078.0,2.6K,0-4-0-0 Aana,13.0,2400 Sq. Feet,1 year ago,[], Kathmandu, Budhanilkantha,1369.0,1369.0,37500000.0
"Newly Built 2.5 Storey House : House For Sale In Budhanilkantha, Kathmandu","['New Colony', ' Ganesh Chowk', ' Budhanilkantha', ' Kathmandu', ' Budhanilkantha', ' Kathmandu']",33500000,6,5,3.0,2,North,2078.0,3.1K,0-4-0-0 Aana,13.0,2300 Sq. Feet,1 year ago,[], Kathmandu, Budhanilkantha,1369.0,1369.0,33500000.0
"Residential : House For Sale In Bansbari, Kathmandu","['Kumari Marg', ' Bansbari', ' Kathmandu', ' Bansbari', ' Kathmandu']",6800000 Per Aana,4,4,3.0,1,North East,2048.0,4.3K,0-12-0-0 Aana,13.0,N/A Aana,1 year ago,[], Kathmandu, Bansbari,4107.0,4107.0,81600000.0
"House : House For Sale In Tikathali, Lalitpur","['Tikathali', ' Tikathali', ' Lalitpur']",14500000,0,0,,0,East,,1.3K,0-3-3-0 Aana,13.0,N/A Sq. Feet,1 year ago,[], Lalitpur, Tikathali,1283.4375,1283.4375,14500000.0
"House : House For Sale In Shantinagar, Kathmandu","['Shantinagar', ' Shantinagar', ' Kathmandu']",39000000,0,0,,0,East,,1.2K,0-6-0-0 Aana,0.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Shantinagar,2053.5,2053.5,39000000.0
"House : House For Sale In Balkot, Bhaktapur","['Balkot', ' Balkot', ' Bhaktapur']",21500000,0,0,,0,East,,1.5K,0-4-0-0 Aana,13.0,N/A Sq. Feet,1 year ago,[], Bhaktapur, Balkot,1369.0,1369.0,21500000.0
"House : House For Sale In Baluwatar, Kathmandu","['Tudaldevi', ' Baluwatar', ' Kathmandu']",39000000,0,0,,0,North East,,1.9K,0-5-2-0 Aana,10.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Baluwatar,1882.375,1882.375,39000000.0
"House : House For Sale In Pepsicola, Kathmandu","['Pepsicola', ' Pepsicola', ' Kathmandu']",16500000,0,0,,0,West,,2K,0-2-2-0 Aana,0.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Pepsicola,855.625,855.625,16500000.0
"House : House For Sale In Dharmasthali, Kathmandu","['Lolang Height', ' Dharmasthali', ' Kathmandu']",15500000,0,0,,0,West,,1.3K,0-4-1-0 Aana,10.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Dharmasthali,1454.5625,1454.5625,15500000.0
"House : House For Sale In Balambu, Kathmandu","['Balambu', ' Balambu', ' Kathmandu']",10500000,0,0,,0,West,,1.3K,0-3-0-0 Aana,0.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Balambu,1026.75,1026.75,10500000.0
"Residential House : House For Sale In Gothatar, Kathmandu","['Dotel Dairy', ' Gothatar', ' Gothatar', ' Kathmandu']",15800000,2,1,2.0,1,East,2073.0,6K,0-3-1-0 Aana,13.0,730 Aana,1 year ago,[], Kathmandu, Gothatar,1112.3125,1112.3125,15800000.0
"House : House For Sale In Makalbari, Kathmandu","['Makalbari', ' Makalbari', ' Kathmandu']",12500000,0,0,,0,South,,1.1K,0-3-0-0 Aana,12.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Makalbari,1026.75,1026.75,12500000.0
"House : House For Sale In Kadaghari, Kathmandu","['Kadaghari', ' Kadaghari', ' Kathmandu']",23500000,0,0,,0,South,,896,0-4-0-0 Aana,13.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Kadaghari,1369.0,1369.0,23500000.0
"House : House For Sale In Mulpani, Kathmandu","['Mulpani', ' Mulpani', ' Kathmandu']",9500000,0,0,,0,North,,1.1K,0-2-2-0 Aana,13.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Mulpani,855.625,855.625,9500000.0
"House : House For Sale In Naikap, Kathmandu","['Naikap', ' Naikap', ' Kathmandu']",21000000,0,0,,0,East,,2K,0-3-1-0 Aana,13.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Naikap,1112.3125,1112.3125,21000000.0
"House : House For Sale In Bhaktapur, Bhaktapur","['Katunje', ' Bhaktapur', ' Bhaktapur']",11000000,0,0,,0,East,,883,0-4-0-0 Aana,10.0,N/A Sq. Feet,1 year ago,[], Bhaktapur, Bhaktapur,1369.0,1369.0,11000000.0
"Land : House For Sale In Thali, Kathmandu","['Thali', ' Thali', ' Kathmandu']",13000000,0,0,,0,West,,1.2K,0-4-0-0 Aana,0.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Thali,1369.0,1369.0,13000000.0
"COLONY House : House For Sale In Baluwatar, Kathmandu","['Baluwatar Area', ' Baluwatar', ' Kathmandu']",65000000,5,5,3.0,2,West,,2.2K,0-6-2-0 Aana,20.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Baluwatar,2224.625,2224.625,65000000.0
"Residential House : House For Sale In Baluwatar, Kathmandu","['Baluwatar Area', ' Baluwatar', ' Kathmandu']",56000000,4,4,3.0,2,North,,1.3K,0-8-0-0 Aana,13.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Baluwatar,2738.0,2738.0,56000000.0
"House : House For Sale In Balkot, Bhaktapur","['Balkot', ' Balkot', ' Bhaktapur']",21500000,0,0,,0,West,,717,0-4-0-0 Aana,13.0,N/A Sq. Feet,1 year ago,[], Bhaktapur, Balkot,1369.0,1369.0,21500000.0
"House : House For Sale In Sudal, Bhaktapur","['Sudal-08', ' Sudal', ' Bhaktapur']",9200000,0,0,,0,West,,746,0-3-2-0 Aana,12.0,N/A Sq. Feet,1 year ago,[], Bhaktapur, Sudal,1197.875,1197.875,9200000.0
"House : House For Sale In Chandol, Kathmandu","['Baluwatar', ' Chandol', ' Kathmandu']",90000000,0,0,,0,East,,613,0-9-0-0 Aana,26.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Chandol,3080.25,3080.25,90000000.0
"House : House For Sale In Mulpani, Kathmandu","['Mulpani', ' Mulpani', ' Kathmandu']",28000000,0,0,,0,East,,717,0-5-0-0 Aana,16.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Mulpani,1711.25,1711.25,28000000.0
"House : House For Sale In Duwakot, Bhaktapur","['Duwakot', ' Duwakot', ' Bhaktapur']",8000000,0,0,,0,South,,1.4K,0-3-0-0 Aana,13.0,N/A Sq. Feet,1 year ago,[], Bhaktapur, Duwakot,1026.75,1026.75,8000000.0
"House For Sale At Thankot : House For Sale In Thankot, Kathmandu","['Thankot checkpost', ' Thankot', ' Kathmandu']",15500000,4,1,,3,East,,1.3K,4 Aana,11.0,4 Aana,1 year ago,"['Drainage', 'Water Supply', 'Parking']", Kathmandu, Thankot,1369.0,1369.0,15500000.0
"Commercial House : House For Sale In Baghbazaar, Kathmandu","['Dharma Chakra Marg', ' Bagbazar', ' Kathmandu', ' Baghbazaar', ' Kathmandu']",35000000,9,7,5.0,0,North,,11.3K,0-3-1-1 Aana,10.0,N/A Aana,1 year ago,[], Kathmandu, Baghbazaar,1133.703125,1133.703125,35000000.0
"Multiple Residential : House For Sale In Imadol, Lalitpur","['Sital Height', ' Imadol', ' Imadol', ' Lalitpur']",21000000,4,4,3.0,1,East,2078.0,46.9K,0-3-0-0 to 0-4-0-0 Aana,13.0,N/A Aana,1 year ago,[], Lalitpur, Imadol,1197.84,1197.84,21000000.0
"SOLD OUT: Under Construction : House For Sale In Imadol, Lalitpur","['Sital Height', ' Imadol', ' Imadol', ' Lalitpur']",21500000,4,4,3.0,1,East,2078.0,1.5K,0-3-0-0 Aana,13.0,N/A Aana,1 year ago,[], Lalitpur, Imadol,1026.75,1026.75,21500000.0
"SOLD OUT: Beautiful : House For Sale In Imadol, Lalitpur","['Sital Height', ' Imadol', ' Imadol', ' Lalitpur']",24500000,4,4,3.0,2,East,2078.0,685,0-3-2-0 Aana,13.0,N/A Aana,1 year ago,[], Lalitpur, Imadol,1197.875,1197.875,24500000.0
"SOLD OUT: 2.5 Storey : House For Sale In Imadol, Lalitpur","['Sital Height', ' Imadol', ' Imadol', ' Lalitpur']",21500000,4,3,3.0,1,East,2078.0,1.6K,0-3-0-0 Aana,13.0,1500 Aana,1 year ago,[], Lalitpur, Imadol,1026.75,1026.75,21500000.0
"SOLD OUT: Spacious : House For Sale In Imadol, Lalitpur","['Sital Height', ' Imadol', ' Imadol', ' Lalitpur']",22500000,4,4,3.0,2,East,2078.0,1.3K,0-3-2-0 Aana,13.0,1800 Aana,1 year ago,[], Lalitpur, Imadol,1197.875,1197.875,22500000.0
"3.5 Storey : House For Sale In Imadol, Lalitpur","['Sital Height', ' Imadol', ' Imadol', ' Lalitpur']",33500000,8,5,4.0,2,South,2078.0,3K,0-4-0-0 Aana,13.0,2600 Aana,1 year ago,[], Lalitpur, Imadol,1369.0,1369.0,33500000.0
"SOLD OUT: 2.5 Storey : House For Sale In Imadol, Lalitpur","['Sital Height', ' Imadol', ' Imadol', ' Lalitpur']",21000000,4,4,3.0,1,North,2078.0,785,0-3-0-0 Aana,13.0,1700 Aana,1 year ago,[], Lalitpur, Imadol,1026.75,1026.75,21000000.0
"House : House For Sale In Tikathali, Lalitpur","['Tikathali', ' Tikathali', ' Lalitpur']",19500000,0,0,,0,North,,1.1K,0-3-1-0 Aana,10.0,N/A Sq. Feet,1 year ago,[], Lalitpur, Tikathali,1112.3125,1112.3125,19500000.0
"House : House For Sale In Kadaghari, Kathmandu","['Kadaghari', ' Kadaghari', ' Kathmandu']",16000000,0,0,,0,West,,487,0-3-1-0 Aana,20.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Kadaghari,1112.3125,1112.3125,16000000.0
"House : House For Sale In Tikathali, Lalitpur","['Tikathali', ' Tikathali', ' Lalitpur']",23000000,0,0,,0,West,,507,0-4-2-0 Aana,10.0,N/A Sq. Feet,1 year ago,[], Lalitpur, Tikathali,1540.125,1540.125,23000000.0
"House : House For Sale In Kapan, Kathmandu","['Kharibot', ' Kapan', ' Kathmandu']",14000000,0,0,,0,West,,1.8K,0-2-2-0 Aana,0.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Kapan,855.625,855.625,14000000.0
"House : House For Sale In Kapan, Kathmandu","['Kapan', ' Kapan', ' Kathmandu']",22500000,0,0,,0,East,,856,0-4-0-0 Aana,12.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Kapan,1369.0,1369.0,22500000.0
"House : House For Sale In Sanobharyang, Kathmandu","['Sanobharyang', ' Sanobharyang', ' Kathmandu']",35000000,0,0,,0,East,,956,0-5-2-0 Aana,16.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Sanobharyang,1882.375,1882.375,35000000.0
"House : House For Sale In Dhungedhara, Kathmandu","['Dhungedhara', ' Dhungedhara', ' Kathmandu']",55000000,0,0,,0,East,,974,0-5-2-0 Aana,0.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Dhungedhara,1882.375,1882.375,55000000.0
"House : House For Sale In Baneshwor, Kathmandu","['Baneshwor', ' Baneshwor', ' Kathmandu']",26000000,0,0,,0,South,,1.5K,0-4-0-0 Aana,13.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Baneshwor,1369.0,1369.0,26000000.0
"House : House For Sale In Hattiban, Lalitpur","['Hattiban', ' Hattiban', ' Lalitpur']",26000000,0,0,,0,South,,721,0-6-1-0 Aana,10.0,N/A Sq. Feet,1 year ago,[], Lalitpur, Hattiban,2139.0625,2139.0625,26000000.0
"House : House For Sale In Bhangal, Kathmandu","['Bhangal', ' Bhangal', ' Kathmandu']",28000000,0,0,,0,West,,579,0-4-0-0 Aana,20.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Bhangal,1369.0,1369.0,28000000.0
"House : House For Sale In Imadol, Lalitpur","['Imadol', ' Imadol', ' Lalitpur']",22500000,0,0,,0,East,,755,0-4-1-0 Aana,12.0,N/A Sq. Feet,1 year ago,[], Lalitpur, Imadol,1454.5625,1454.5625,22500000.0
"House : House For Sale In Boudha, Kathmandu","['Nayabasti', ' Boudha', ' Kathmandu']",27000000,0,0,,0,West,,476,0-3-0-0 Aana,15.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Boudha,1026.75,1026.75,27000000.0
"House : House For Sale In Kageshwari-Manohara, Kathmandu","['Kageshwori', ' Kageshwari-Manohara', ' Kathmandu']",26500000,0,0,,0,West,,394,0-4-0-0 Aana,20.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Kageshwari-Manohara,1369.0,1369.0,26500000.0
"House : House For Sale In Dhapasi, Kathmandu","['Dhaneshwor', ' Dhapasi', ' Kathmandu']",23000000,0,0,,0,West,,1.4K,0-4-2-0 Aana,0.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Dhapasi,1540.125,1540.125,23000000.0
"House : House For Sale In Suryabinayak, Bhaktapur","['Suryabinayak', ' Suryabinayak', ' Bhaktapur']",10000000,0,0,,0,East,,861,0-4-2-0 Aana,0.0,N/A Sq. Feet,1 year ago,[], Bhaktapur, Suryabinayak,1540.125,1540.125,10000000.0
"House : House For Sale In Imadol, Lalitpur","['Imadol', ' Imadol', ' Lalitpur']",15200000,0,0,,0,West,,1.5K,0-2-3-0 Aana,13.0,N/A Sq. Feet,1 year ago,[], Lalitpur, Imadol,941.1875,941.1875,15200000.0
"House : House For Sale In Jorpati, Kathmandu","['Jorpati', ' Jorpati', ' Kathmandu']",35000000,0,0,,0,West,,744,0-4-2-0 Aana,0.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Jorpati,1540.125,1540.125,35000000.0
"House : House For Sale In Tokha, Kathmandu","['Tokha', ' Tokha', ' Kathmandu']",19000000,0,0,,0,South,,953,0-4-0-0 Aana,20.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Tokha,1369.0,1369.0,19000000.0
"House : House For Sale In Nagarjun, Kathmandu","['Nagarjun', ' Nagarjun', ' Kathmandu']",17500000,0,0,,0,West,,1.1K,0-4-0-0 Aana,13.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Nagarjun,1369.0,1369.0,17500000.0
"House : House For Sale In Lubhu, Lalitpur","['Lubhu', ' Lubhu', ' Lalitpur']",13700000,0,0,,0,West,,680,0-3-0-0 Aana,0.0,N/A Sq. Feet,1 year ago,[], Lalitpur, Lubhu,1026.75,1026.75,13700000.0
"Land : House For Sale In Kausaltar, Bhaktapur","['Kausaltar', ' Kausaltar', ' Bhaktapur']",3700000 Per aana,0,0,,0,West,,674,0-3-2-0 Aana,0.0,N/A Sq. Feet,1 year ago,[], Bhaktapur, Kausaltar,1197.875,1197.875,12950000.0
"Newly Built 2.5 Storey House : House For Sale In Imadol, Lalitpur","['Ochu Height', ' Imadol', ' Lalitpur']",29500000,6,4,3.0,2,South East,2078.0,1.8K,0-4-0-0 Aana,13.0,2600 Sq. Feet,1 year ago,[], Lalitpur, Imadol,1369.0,1369.0,29500000.0
"House : House For Sale In Duwakot, Bhaktapur","['Duwakot', ' Duwakot', ' Bhaktapur']",24000000,0,0,,0,West,,468,0-5-0-0 Aana,13.0,N/A Sq. Feet,1 year ago,[], Bhaktapur, Duwakot,1711.25,1711.25,24000000.0
"House : House For Sale In Lokanthali, Bhaktapur","['Lokanthali', ' Lokanthali', ' Bhaktapur']",28000000,0,0,,0,West,,1.2K,0-5-0-0 Aana,12.0,N/A Sq. Feet,1 year ago,[], Bhaktapur, Lokanthali,1711.25,1711.25,28000000.0
"House : House For Sale In Thali, Kathmandu","['Thali', ' Thali', ' Kathmandu']",15500000,0,0,,0,West,,1.6K,0-3-0-0 Aana,12.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Thali,1026.75,1026.75,15500000.0
"House : House For Sale In Maharajgunj, Kathmandu","['Chappalkarkhana', ' Maharajgunj', ' Kathmandu']",62500000,0,0,,0,West,,951,0-10-2-0 Aana,0.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Maharajgunj,3593.625,3593.625,62500000.0
"House : House For Sale In Balaju, Kathmandu","['Balaju', ' Balaju', ' Kathmandu']",9300000,0,0,,0,West,,704,0-3-0-0 Aana,6.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Balaju,1026.75,1026.75,9300000.0
"3 Storied Flat System House For Sale At Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","['Budhanilkantha', ' Budhanilkantha', ' Kathmandu']",35000000,6,6,3.0,5,East,,575,8 Aana,20.0,N/A Aana,1 year ago,"['Lawn', 'Parking', 'Fencing', 'Water Supply']", Kathmandu, Budhanilkantha,2738.0,2738.0,35000000.0
"8x45 Sq Ft Land/House On Sale At Baaghbazaar : House For Sale In Baghbazaar, Kathmandu","['Bagbazaar', ' Baghbazaar', ' Kathmandu']",23000000,0,0,3.0,0,East,,628,0-0-3-3 Aana,30.0,N/A Aana,1 year ago,[], Kathmandu, Baghbazaar,320.859375,320.859375,23000000.0
"2.5 Storied Flat System House On Sale At Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","['Budhanilkantha', ' Budhanilkantha', ' Kathmandu']",55000000,5,5,,0,East,,359,6 Aana,16.0,N/A Aana,1 year ago,"['Drainage', 'Parking', 'Balcony', 'Water Supply']", Kathmandu, Budhanilkantha,2053.5,2053.5,55000000.0
"House Sale : House For Sale In Syuchatar, Kathmandu","['Kalanki', ' Syuchatar', ' Kathmandu']",22500000,6,3,,1,East,2077.0,464,3 Aana,13.0,2000 Aana,1 year ago,"['Balcony', 'Drainage', 'Water Supply', 'Water Tank', 'Parking']", Kathmandu, Syuchatar,1026.75,1026.75,22500000.0
"House For Sale In Sanepa, Lalitpur","['Sanepa bungalow house sale', ' Sanepa', ' Lalitpur']",240000000,5,5,2.0,5,East,2063.0,1.8K,1-8-0-0 Aana,13.0,N/A Sq. Feet,1 year ago,"['CCTV', 'Garage', 'Garden', 'TV Cable', 'Internet', 'Parking']", Lalitpur, Sanepa,8214.0,8214.0,240000000.0
"House : House For Sale In Gatthaghar, Bhaktapur","['Gatthaghar', ' Gatthaghar', ' Bhaktapur']",40000000,0,0,,0,East,,684,0-4-0-0 Aana,15.0,N/A Sq. Feet,1 year ago,[], Bhaktapur, Gatthaghar,1369.0,1369.0,40000000.0
"House : House For Sale In Ramkot, Kathmandu","['Ramkot', ' Ramkot', ' Kathmandu']",16500000,0,0,,0,West,,713,0-3-2-0 Aana,13.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Ramkot,1197.875,1197.875,16500000.0
"House : House For Sale In Kapan, Kathmandu","['Kapan', ' Kapan', ' Kathmandu']",21500000,0,0,,0,South,,541,0-3-2-0 Aana,13.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Kapan,1197.875,1197.875,21500000.0
"House : House For Sale In Hattigauda, Kathmandu","['Hattigauda', ' Hattigauda', ' Kathmandu']",3400000 Per aana,0,0,,0,West,,1K,0-11-0-0 Aana,16.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Hattigauda,3764.75,3764.75,37400000.0
"House : House For Sale In Budhanilkantha, Kathmandu","['Ganesh Chowk', ' Budhanilkantha', ' Kathmandu']",36500000,0,0,,0,South,,454,0-4-2-0 Aana,13.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Budhanilkantha,1540.125,1540.125,36500000.0
"House : House For Sale In Sitapaila, Kathmandu","['Sitapaila', ' Sitapaila', ' Kathmandu']",10500000,0,0,,0,West,,1.4K,0-4-0-0 Aana,3.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Sitapaila,1369.0,1369.0,10500000.0
"House : House For Sale In Chhauni, Kathmandu","['Chauni', ' Chhauni', ' Kathmandu']",85000000,0,0,,0,West,,882,0-12-2-0 Aana,12.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Chhauni,4278.125,4278.125,85000000.0
"House : House For Sale In Duwakot, Bhaktapur","['Duwakot', ' Duwakot', ' Bhaktapur']",11500000,0,0,,0,East,,923,0-3-0-0 Sq. Feet,12.0,N/A Sq. Feet,1 year ago,[], Bhaktapur, Duwakot,1026.75,1026.75,11500000.0
"House : House For Sale In Sitapaila, Kathmandu","['Nagarjun', ' Sitapaila', ' Kathmandu']",17500000,0,0,,0,East,,1.1K,0-4-0-0 Aana,13.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Sitapaila,1369.0,1369.0,17500000.0
"House : House For Sale In Sudal, Bhaktapur","['Sudal-08', ' Sudal', ' Bhaktapur']",11500000,0,0,,0,East,,678,0-4-0-0 Aana,10.0,N/A Sq. Feet,1 year ago,[], Bhaktapur, Sudal,1369.0,1369.0,11500000.0
"House : House For Sale In Budhanilkantha, Kathmandu","['Nikheleshwor', ' Budhanilkantha', ' Kathmandu']",25000000,0,0,,0,East,,930,0-3-1-0 Aana,13.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Budhanilkantha,1112.3125,1112.3125,25000000.0
"House : House For Sale In Bhangal, Kathmandu","['Bhangal', ' Bhangal', ' Kathmandu']",34000000,0,0,,0,North,,340,0-5-0-0 Aana,13.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Bhangal,1711.25,1711.25,34000000.0
"House : House For Sale In Imadol, Lalitpur","['Maharjan Chowk', ' Imadol', ' Lalitpur']",14000000,0,0,1.5,0,South,,762,0-3-0-0 Aana,10.0,N/A Sq. Feet,1 year ago,[], Lalitpur, Imadol,1026.75,1026.75,14000000.0
"House : House For Sale In Jharuwarashi, Lalitpur","['Jharuwarasi', ' Jharuwarashi', ' Lalitpur']",17000000,0,0,,0,East,,570,0-6-0-0 Aana,13.0,N/A Sq. Feet,1 year ago,[], Lalitpur, Jharuwarashi,2053.5,2053.5,17000000.0
"House : House For Sale In Bhangal, Kathmandu","['Bhangal', ' Bhangal', ' Kathmandu']",19500000,0,0,,0,East,,433,0-3-0-0 Aana,13.0,N/A Sq. Feet,1 year ago,[], Kathmandu, Bhangal,1026.75,1026.75,19500000.0
