Title,Full_Address,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Build Area,Posted,Amenities,City,Address,Area(Sq.Feet),Area(In Sq.Feet),Price(Float)
"Balaju Ma 4aana 1 Paisa 3 Dam Ghar Bikrima : House For Sale In Balaju, Kathmandu","['Balaju', ' bypass', ' Balaju', ' Kathmandu']",15500000,18,9,,1,South West,,1.4K,4.1.3 Aana,4.0,N/A Aana,1 year ago,[], Kathmandu, Balaju,1454.5625,1454.5625,15500000.0
"Residential Plus Commercial : House For Sale In Samakhusi, Kathmandu","['Samakhusi', 'Pabitranagar Marg', ' Samakhusi', ' Kathmandu']",25000000,0,4,4.0,1,North,2013.0,1.4K,0-3-0-1 Aana,10.0,N/A Aana,1 year ago,"['Drainage', 'Garage', 'Internet', 'Water Tank', 'Water Well']", Kathmandu, Samakhusi,1048.140625,1048.140625,25000000.0
"Residential : House For Sale In Tarkeshwor, Kathmandu","['phutung -7', ' Tarkeshwor', ' Kathmandu']",25000000,5,4,3.0,3,East,2020.0,606,0-4-2-1 Aana,12.0,2452.23 Aana,1 year ago,"['Garage', 'Balcony', 'Deck', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking']", Kathmandu, Tarkeshwor,1561.515625,1561.515625,25000000.0
"कलङ्कि ढुङ्गे अड्डा नजिकै ४ आना १ पैसा २ दाममा बनेको Full Parquating नया घर तु बिक्रीमा । : House For Sale In Chandragiri, Kathmandu","['Chandragiri', ' Chandragiri', ' Kathmandu']",29500000,7,4,2.0,2,West,2021.0,486,4.1 Aana,14.0,N/A Aana,1 year ago,"['Balcony', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Internet', 'Parking']", Kathmandu, Chandragiri,1454.5625,1454.5625,29500000.0
"Brand New House For Sale In VIP Area Of Lalitpur Nakhipot. Own This Fresh House With 20% Down Payment. : House For Sale In Nakhipot, Lalitpur","['Tikhedewal', ' Lalitpur', ' Nakhipot', ' Lalitpur']",26500000,5,4,4.0,7,North,2021.0,2.6K,0-3-2-0 Aana,13.0,0-3-2-0 Aana,1 year ago,"['Drainage', 'Balcony', 'Deck', 'Fencing', 'Garage', 'Parking', 'Water Supply', 'Modular Kitchen', 'TV Cable', 'Water Well', 'Water Tank', 'Internet']", Lalitpur, Nakhipot,1197.875,1197.875,26500000.0
"House For Sale In Chandol, Kathmandu","['House for sale chandol', ' Chandol', ' Kathmandu']",35000000,5,4,2.0,1,North,2071.0,880,0-4-0-0 Aana,12.0,N/A Sq. Feet,1 year ago,"['CCTV', 'TV Cable', 'Parking']", Kathmandu, Chandol,1369.0,1369.0,35000000.0
"Motivated Seller| Brand New Home | Great Investment : House For Sale In Golfutar, Kathmandu","['Hepali height', ' Golfutat', ' Golfutar', ' Kathmandu']",23000000,3,4,3.0,1,East,2018.0,1.2K,3 Aana,26.0,3.1 Aana,1 year ago,"['Water Supply', 'TV Cable', 'Solar Water', 'Water Tank']", Kathmandu, Golfutar,1026.75,1026.75,23000000.0
"Modern House : House For Sale In Basundhara, Kathmandu","['Swargadwari-07', ' Basundhara', ' Kathmandu']",36000000,4,6,3.5,1,South East,2078.0,8.6K,0-5-1-0 Aana,15.0,2605 Aana,1 year ago,"['Garage', 'Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking']", Kathmandu, Basundhara,1796.8125,1796.8125,36000000.0
"Building In Kalanki : House For Sale In Kalanki, Kathmandu","['kalanki', ' Kalanki', ' Kathmandu']",6500000 Per Aana,0,0,,0,North West,,638,16 Aana,30.0,5000 Aana,1 year ago,[], Kathmandu, Kalanki,5476.0,5476.0,104000000.0
"House For Sale In Nagarkot, Bhaktapur","['Pipalbot', ' Nagarkot', ' Bhaktapur']",5200000,2,1,1.0,0,North East,2077.0,1.4K,6 Aana,0.0,333 Sq. Feet,1 year ago,[], Bhaktapur, Nagarkot,2053.5,2053.5,5200000.0
"2.5 Stroyed House On Sale At Imadole : House For Sale In Imadol, Lalitpur","['Mahalaxmi Muncipality', ' Imadol', ' Lalitpur']",24000000,4,3,3.0,1,West,2020.0,1.1K,0-3-0-1 Aana,20.0,2068 Sq. Meter,1 year ago,"['Water Supply', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Solar Water', 'Water Well', 'Water Tank', 'Parking']", Lalitpur, Imadol,1048.140625,1048.140625,24000000.0
"House For Sale In Thulo Bharyang, Kathmandu","['Namgel chok', ' Thulo Bharyang', ' Kathmandu']",28000000,0,0,,0,West,,1.1K,0-4-0-0 Aana,11.0,2700 Sq. Feet,1 year ago,"['Drainage', 'Parking', 'Balcony', 'Water Supply', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Solar Water', 'Water Tank', 'Internet']", Kathmandu, Thulo Bharyang,1369.0,1369.0,28000000.0
"House For Sale In Dhapasi, Kathmandu","['Dhapasi-6', ' Dhapasi', ' Kathmandu']",21000000,5,3,2.0,1,West,2076.0,1K,3 Aana,13.0,N/A Sq. Feet,1 year ago,"['Drainage', 'Parking', 'Balcony', 'Water Supply', 'Modular Kitchen', 'TV Cable', 'Water Well', 'Solar Water', 'Water Tank']", Kathmandu, Dhapasi,1026.75,1026.75,21000000.0
"House For Sale In Dhobighat, Lalitpur","['Afaldole', ' Dhobighat', ' Lalitpur']",95000000,5,4,3.0,2,East,2062.0,2.6K,21 Aana,20.0,N/A Sq. Feet,2 years ago,"['Lawn', 'Drainage', 'Garage', 'Parking', 'Balcony', 'Fencing', 'Water Supply', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Solar Water', 'Water Well', 'Water Tank', 'Internet', 'Store Room']", Lalitpur, Dhobighat,7187.25,7187.25,95000000.0
"Modern House : House For Sale In Chappal Karkhana, Kathmandu","['Chappal karkhana', ' Chappal Karkhana', ' Kathmandu']",40000000,7,4,3.5,1,North,,1.3K,0-5-1-2 Aana,12.0,N/A Sq. Feet,2 years ago,"['TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking']", Kathmandu, Chappal Karkhana,1839.59375,1839.59375,40000000.0
