,title,address,price,bedroom,bathroom,floor,parking,property_id,property_face,build_year,views,area_covered,road_access,build_up_area,posted,amenities
981,"Beautiful House : House For Sale In Kapan, Kathmandu","Kapan, Kapan, Kathmandu","NPR. 2,65,00,000",11,0,N/A,0,BN8627,West,N/A,566,0-4-0-0 Aana,20 Feet / Paved,N/A Aana,2 years ago,"['Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Parking', 'Store Room']"
982,"Beautiful House : House For Sale In Budhanilkantha, Kathmandu","Budanilkantha, Budhanilkantha, Kathmandu","NPR. 2,78,00,000 onwards",0,0,N/A,0,BN8625,West,N/A,1K,0-4-0-0 Aana,13 Feet / Blacktopped,N/A Aana,2 years ago,"['Garden', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Parking']"
983,"Morden Residential Home Is For Sale In Imadol, Lalitpur : House For Sale In Imadol, Lalitpur","Nayabasti, Imadol, Imadol, Lalitpur","NPR. 2,20,00,000 onwards",5,5,2.5,4,BN8623,East,N/A,683,0-3-1-1 Aana,13 Feet / Gravelled,N/A Aana,2 years ago,"['Garage', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet', 'Parking']"
984,"Beautiful House : House For Sale In Imadol, Lalitpur","Imadol, Imadol, Lalitpur","NPR. 2,50,00,000",5,3,2.5,3,BN8615,West,N/A,569,0-3-2-0 Aana,20 Feet / Gravelled,N/A Aana,2 years ago,"['Garden', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking', 'Store Room']"
985,"House For Sale In Budhanilkantha, Kathmandu","Aakashyadhara, Budhanilkantha, Kathmandu","NPR. 1,90,00,000 Onwards",0,0,N/A,0,BN8612,West,N/A,556,4 Aana,10 Feet / Gravelled,1010.92 Aana,2 years ago,"['TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'CCTV', 'Internet', 'Parking']"
986,"Bungalow House : House For Sale In Dhobighat, Lalitpur","Dhobighat, Dhobighat, Lalitpur","NPR. 15,00,00,000",6,7,3,3,BN8603,East,2077,18.5K,0-9-0-0 Aana,16 Feet / Gravelled,N/A Aana,2 years ago,"['Garage', 'Balcony', 'Garden', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Internet', 'Maintenance', 'Parking', 'Store Room']"
987,"Beautiful House : House For Sale In Nagarjun, Kathmandu","Nagarjung, Nagarjun, Kathmandu","NPR. 2,20,00,000",7,4,2.5,4,BN8595,South,N/A,571,0-3-2-2 Aana,10 Feet / Blacktopped,N/A Ropani,2 years ago,"['Modular Kitchen', 'TV Cable', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking', 'Store Room']"
988,"𝐁𝐫𝐚𝐧𝐝 𝐧𝐞𝐰 𝐇𝐨𝐮𝐬𝐞 𝐟𝐨𝐫 𝐬𝐚𝐥𝐞 𝐢𝐧 𝐋𝐚𝐥𝐢𝐭𝐩𝐮𝐫, 𝐈𝐦𝐚𝐝𝐨𝐥 𝐰𝐢𝐭𝐡 𝐯𝐞𝐫𝐲 𝐥𝐨𝐰 𝐩𝐫𝐢𝐜𝐞. : House For Sale In Imadol, Lalitpur","Imadol, Imadol, Lalitpur","NPR. 1,95,00,000",5,3,8,5,BN8594,West,2020,1.4K,4 Aana,15 Feet / Paved,1200 Sq. Feet,2 years ago,"['Garage', 'Parking', 'Balcony', 'Fencing', 'Water Supply', 'Swimming Pool', 'Solar Water', 'Water Well', 'Water Tank', 'Internet', 'TV Cable']"
989,"House For Sale In Buddhanagar, Kathmandu","Sankhamul budhanagar, Buddhanagar, Kathmandu","NPR. 5,65,00,000",10,5,3,2,BN8590,East,2073,919,5 Aana,16 Feet / Gravelled,3500 Sq. Feet,2 years ago,"['CCTV', 'Garden', 'Modular Kitchen']"
990,"Maijubahal House : House For Sale In Chabahil, Kathmandu","Boudhanath Marga, Chabahil ,7 Kathmandu, Chabahil, Kathmandu","NPR. 3,10,00,000 Onwards",8,4,3,2,BN8587,West,2010,1.6K,111 Sq. Meter,0 Feet / Blacktopped,111 Sq. Meter,2 years ago,"['Water Supply', 'Drainage', 'Parking', 'Balcony', 'Microwave', 'Solar Water', 'Water Tank', 'Internet', 'TV Cable', 'Washing Machine', 'Wifi']"
