,title,address,price,bedroom,bathroom,floor,parking,property_id,property_face,build_year,views,area_covered,road_access,build_up_area,posted,amenities
1856,"House For Sale : House For Sale In Manamaiju, Kathmandu","BASUKI NAG TOLE, Manamaiju, Kathmandu","NPR. 1,35,00,000",4,3,3.0,0,BN5630,East,2075.0,1.2K,2-2 Aana,10 Feet / Blacktopped,2-1 Aana,3 years ago,[]
1857,"SOLD OUT : House For Sale In Imadol, Lalitpur","Pawan Prakriti English Secondary School, Imadol, Lalitpur","NPR. 1,10,00,000 Total price",3,1,1.0,0,BN5624,North,,1.1K,3 Aana,14 Feet / Gravelled,N/A Aana,3 years ago,[]
1858,"House For Sale In Maharajgunj, Kathmandu","Maharajgunj, Maharajgunj, Kathmandu","NPR. 7,00,00,000",5,5,3.0,0,BN5622,North,,838,9 Aana,13 Feet / Blacktopped,N/A Aana,3 years ago,[]
1859,"Beautiful Sweet Home Kapan Housing : House For Sale In Bhangal, Kathmandu","na, Bhangal, Kathmandu","NPR. 1,79,00,000",5,5,3.0,1,BN5619,East,2076.0,1.8K,3.5 Aana,14 Feet / Gravelled,N/A Aana,3 years ago,[]
1860,"7 Ana Bungalow Bhangal Kapan : House For Sale In Bhangal, Kathmandu","na, Bhangal, Kathmandu","NPR. 3,45,00,000",5,5,3.0,2,BN5618,South West,2076.0,956,7 Aana,15 Feet / Blacktopped,N/A Aana,3 years ago,"['Garden', 'Balcony', 'Microwave', 'Lawn']"
1861,"Beautiful (150m From Main Ringroad) Stunning, Magnificent Views, Prestigious Location : House For Sale In Basundhara, Kathmandu","Basundhara, Basundhara, Kathmandu","NPR. 4,10,00,000 Onwards",7,6,3.0,3,BN5615,East,2012.0,1.7K,7 Aana,20 Feet / Blacktopped,N/A Aana,3 years ago,"['Balcony', 'Garden', 'Drainage', 'Water Tank', 'Kids Playground', 'Parking', 'Security Staff', 'Store Room']"
1862,"4 Story House/Building On Ring Road : House For Sale In Koteshwor, Kathmandu","Balkumari Pul, Koteshwor, Kathmandu","NPR. 1,85,00,000 Onwards",7,4,4.0,0,BN5613,East,2014.0,1.2K,1.5 Aana,26 Feet / Blacktopped,1.5 Aana,3 years ago,"['Balcony', 'Drainage', 'Water Supply', 'Water Tank']"
1863,"BUDHANILKANTHA 32 ANA LUXURY HOME : House For Sale In Budhanilkantha, Kathmandu","NA, Budhanilkantha, Kathmandu","NPR. 10,50,00,000",5,6,3.0,10,BN5609,West,2074.0,3.1K,32 Aana,20 Feet / Blacktopped,N/A Aana,3 years ago,"['Garden', 'Garage', 'Fencing', 'Water Supply', 'Solar Water', 'TV Cable', 'Water Tank', 'Water Well', 'Washing Machine', 'Balcony', 'Lawn', 'Microwave', 'Modular Kitchen']"
1864,"HATTIGAUDA 4.5 FLOOR HOME : House For Sale In Hattigauda, Kathmandu","NA, Hattigauda, Kathmandu","NPR. 3,65,00,000",9,10,5.0,2,BN5608,South,2075.0,709,6 Aana,14 Feet / Blacktopped,N/A Aana,3 years ago,"['Garden', 'Wifi', 'Water Tank', 'Solar Water', 'TV Cable']"
1865,"SOLD OUT : House For Sale In Kirtipur, Kathmandu","Maitrinagar, Kirtipur, Kathmandu","NPR. 1,50,00,000 Total price",0,0,,0,BN5606,South,,1.7K,3 Aana,10 Feet / Blacktopped,N/A Aana,3 years ago,[]
1866,"Chapali Vangal House In Sell : House For Sale In Bhangal, Kathmandu","Sundarbasti, Bhangal, Kathmandu","NPR. 2,10,00,000 Onwards",5,4,2.0,2,BN5604,West,,1K,3.5 Aana,13 Feet / Gravelled,3 Aana,3 years ago,['Modular Kitchen']
1867,"SOLD OUT : House For Sale In Chabahil, Kathmandu","Malpot Office, Chabahil, Kathmandu","NPR. 3,80,00,000 Total price",0,0,,0,BN5602,North,,1.2K,8 Aana,14 Feet / Blacktopped,N/A Aana,3 years ago,[]
1868,"SOLD OUT : House For Sale In Kapan, Kathmandu","Kapan, Kapan, Kathmandu","NPR. 75,00,000 Total price",2,1,1.0,0,BN5595,North,,1.3K,0-3-5-0 Aana,12 Feet / Gravelled,N/A Aana,3 years ago,[]
1869,"SOLD OUT : House For Sale In Imadol, Lalitpur","Sitapakha, Imadol, Lalitpur","NPR. 1,30,00,000 Total price",2,1,1.0,0,BN5585,East,,791,0-3-3-3 Aana,13 Feet / Gravelled,N/A Aana,3 years ago,[]
1870,"SOLD OUT : House For Sale In Goldhunga, Kathmandu","Goldhunga, Goldhunga, Kathmandu","NPR. 1,30,00,000 Total price",0,0,,0,BN5582,North,,631,0-3-2-0 Aana,13 Feet / Gravelled,N/A Aana,3 years ago,[]
1871,"SOLD OUT : House For Sale In Bharatpur, Chitwan","Narayanghat, Bharatpur, Chitwan","NPR. 4,80,00,000 Total price",0,0,,0,BN5581,North East,,1.9K,52*52 Haat,6 Meter,N/A Haat,3 years ago,[]
1872,"SOLD OUT : House For Sale In Tarkeshwor, Kathmandu","Tarkeshwor Municipality Head Office, Tarkeshwor, Kathmandu","NPR. 80,00,000 Total price",7,3,,0,BN5578,West,,877,4 Aana,10 Feet,N/A Aana,3 years ago,"['Balcony', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well']"
1873,"Greenland Home For Sale : House For Sale In Tokha, Kathmandu","na, Tokha, Kathmandu","NPR. 1,78,00,000",5,6,3.0,1,BN5571,South,2076.0,2K,3.1 Aana,12 Feet / Blacktopped,N/A Aana,3 years ago,[]
1874,"Baluwakhani 3.5 Ana Home : House For Sale In Budhanilkantha, Kathmandu","na, Budhanilkantha, Kathmandu","NPR. 2,18,00,000",5,6,3.0,1,BN5569,North East,2076.0,1.5K,3.5 Aana,12 Feet / Blacktopped,N/A Aana,3 years ago,[]
1875,"SOLD OUT : House For Sale In Kalopul, Kathmandu","Best Venue (Previously Hira Ratna Cinema), Kalopul, Kathmandu","NPR. 2,90,00,000 Total price",0,0,,0,BN5568,West,,2.1K,0-3-3-0 Aana,10 Feet / Blacktopped,N/A Aana,3 years ago,[]
1876,"Sold Out : House On Sale At Birgunj : House For Sale In Birgunj, Parsa","Alakhiya math main road, Birgunj, Parsa","NPR. 45,00,000 Per Dhur",24,22,4.0,3,BN5566,East,,3.8K,43 Dhur,30 Feet / Blacktopped,16000 Dhur,3 years ago,['Balcony']
1877,"SOLD OUT : House For Sale In Kadaghari, Kathmandu","Kadaghari, Kadaghari, Kathmandu","NPR. 2,90,00,000 Total price",5,0,3.0,0,BN5563,West,,1.8K,0-4-0-0 Aana,12 Feet / Blacktopped,N/A Aana,3 years ago,[]
1878,"SOLD OUT: HOUSE FOR SALE : House For Sale In Basundhara, Kathmandu","Shree tole, Basundhara, Kathmandu","NPR. 2,30,00,000 Onwards",4,3,2.0,0,BN5561,South,,1.5K,3.1 Aana,15 Feet / Gravelled,3 Aana,3 years ago,"['Drainage', 'Water Supply', 'Water Tank', 'Store Room']"
1879,"SOLD OUT : House For Sale In Tinkune, Kathmandu","Subidhanagar, Tinkune, Kathmandu","NPR. 3,75,00,000 Total price",0,0,,0,BN5553,North,,1.4K,0-4-2-0 Aana,22 Feet / Blacktopped,N/A Aana,3 years ago,"['Balcony', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Parking']"
1880,"SOLD OUT : House For Sale In Kadaghari, Kathmandu","Gothatar, Kadaghari, Kathmandu","NPR. 1,15,00,000 Total price",0,0,,0,BN5552,North,,2K,0-3-5-0 Aana,12 Feet / Gravelled,N/A Aana,3 years ago,[]
1881,"SOLD OUT : House For Sale In Kadaghari, Kathmandu","Force Park Bus Stop, Kadaghari, Kathmandu","NPR. 1,25,00,000 Total price",6,0,,0,BN5551,North,,3.4K,0-2-3-0 Aana,13 Feet / Gravelled,N/A Aana,3 years ago,[]
1882,"SOLD OUT : House For Sale In Shantinagar, Kathmandu","Siddhicharan Marg, Shantinagar, Kathmandu","NPR. 4,25,00,000 Total price",6,0,3.0,4,BN5548,North,2042.0,14.3K,0-6-2-0 Aana,10 Feet / Blacktopped,N/A Aana,3 years ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking']"
1883,"SOLD OUT : House For Sale In Kalimati, Kathmandu","Nearby, Police Station, Kalimati, Kathmandu","NPR. 2,50,00,000 Total price",0,0,,0,BN5540,South,,1.2K,0-1-3-0 Aana,9 Feet / Blacktopped,N/A Aana,3 years ago,"['Wifi', 'Drainage', 'Water Tank', 'Water Well']"
1884,"SOLD OUT : House For Sale In Balaju, Kathmandu","Balaju, Balaju, Kathmandu","NPR. 2,20,00,000 Total price",0,0,,0,BN5539,South,,835,4 Aana,22 Feet / Gravelled,N/A Aana,3 years ago,"['Balcony', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Parking']"
1885,"SOLD OUT : House For Sale In Imadol, Lalitpur","Imadol, Imadol, Lalitpur","NPR. 1,75,00,000 Total price",0,0,,0,BN5536,South,,943,3 Aana,13 Feet,N/A Aana,3 years ago,"['Balcony', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Parking']"
1886,"SOLD OUT : House For Sale In Imadol, Lalitpur","Nearby, Little Angel&#39;s College of Higher Studies, Imadol, Lalitpur","NPR. 1,50,00,000 Total price",0,0,,0,BN5534,South,,742,0-2-2-0 Aana,13 Feet / Gravelled,N/A Aana,3 years ago,[]
1887,"House For Sale Near Kumaripati : House For Sale In Kumaripati, Lalitpur","Near kumaripati, Kumaripati, Lalitpur","NPR. 7,60,00,000 Onwards",0,0,,5,BN5532,South East,,2.5K,0-5-0-0 Aana,22 Feet,N/A Aana,3 years ago,[]
1888,"SOLD OUT : New House : House For Sale In Ranipauwa, Pokhara","Mahendra pul, Ranipauwa, Pokhara","NPR. 3,70,00,000 Onwards",7,5,3.0,3,BN5527,South East,2074.0,2.8K,6.5 Aana,20 Feet / Gravelled,6.5 Aana,3 years ago,"['Garage', 'Balcony', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Kids Playground', 'Parking', 'Store Room']"
1889,"SOLD OUT : House For Sale In Bhaisepati, Lalitpur","Nearby, Talimkendra, Bhaisepati, Lalitpur","NPR. 2,60,00,000 Total price",5,4,,0,BN5523,North,,1.2K,4 Aana,13 Feet / Blacktopped,N/A Aana,3 years ago,"['Balcony', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Tank', 'Water Well', 'Parking', 'Store Room']"
1890,"SOLD OUT : House For Sale In Sukedhara, Kathmandu","Near Hemshospital, Sukedhara, Kathmandu","NPR. 2,98,00,000 Total price",11,0,,0,BN5521,North,,908,5 Aana,13 Feet / Blacktopped,N/A Aana,3 years ago,"['Balcony', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']"
1891,"SOLD OUT : House For Sale In Baneshwor, Kathmandu","Buddhanagar, Baneshwor, Kathmandu","NPR. 3,20,00,000 Total price",0,0,,0,BN5513,South,,2.5K,6 Aana,12 Feet / Blacktopped,N/A Aana,3 years ago,[]
1892,"SOLD OUT: House On Sale Or For Rent In Kirtipur : House For Sale In Kirtipur, Kathmandu","Bhatkepati (Prithivi Chowk), Kirtipur, Kathmandu","NPR. 2,50,00,000 Onwards",6,4,3.0,1,BN5512,South,2019.0,1.1K,0-4-2-3 Aana,12 Feet / Gravelled,2548 Aana,3 years ago,['Garden']
1893,"House For Sale In Patan, Lalitpur","Okubahal, Patan, Lalitpur","NPR. 1,50,00,000 Per Aana",0,0,,0,BN5511,West,,1.6K,0-1-0-0 Aana,40 Feet / Paved,0-1-0-0 Aana,3 years ago,[]
