price,LAND AREA,HOUSE AREA,,BEDS,LIVING,KITCHEN,BATHROOMS,FLOORS,FACED TOWARDS,CATEGORY,TYPE,CODE,UPDATE,VIEWS,FURNISHING,FLAT AREA,PARKING AREA
"Rs. 14,00,000 (Negotiable)
(14 lakh per aana)",0-16-0-0,,,,,,,,SOUTH,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB05378,5 YEARS AGO,5924,,,
"Rs. 2,10,00,000 (Negotiable)
(2 crore 10 lakh)",0-3-0-0,,,7,1,2,3,2.5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05661,5 YEARS AGO,2442,SEMI FURNISHED,,
"Rs. 1,80,00,000 (Negotiable)
(One crore eighty lakh )",0-2-2-0,0-2-2-0,,7,,2,,3,WEST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB06737,4 YEARS AGO,2959,NOT FURNISHED,,
"Rs. 6,40,00,000 (Negotiable)
(Six crore forty lakh )",1-0-0-0,1-0-0-0,,,,3,4,2,EAST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB06330,4 YEARS AGO,3023,SEMI FURNISHED,,
,0-5-0-0,,,,,,,,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10494,3 MONTHS AGO,83,,,
"Rs. 1,68,00,000 (Negotiable)
(One crore sixty eight lakh )",0-4-0-0,1900 SQUARE FEET,,5,2,1,2,2.5,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05722,7 MONTHS AGO,7332,NOT FURNISHED,,
"Rs. 1,50,000 / month (Negotiable)
(One lakh fifty thousand )",,3 KATTHA,,,,,,,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB09993,8 MONTHS AGO,203,SEMI FURNISHED,,
"Rs. 3,50,000 (Negotiable)
(Starting price 3 lakh 50 thousand per meter)",17-6-3-2,,,,,,,,SOUTH,LAND (RESIDENTIAL),PILLAR SYSTEM,GB04422,6 YEARS AGO,4729,,,
"Rs. 50,00,000 (Negotiable)
(Fifty lakh )",0-5-0-0,,,,,,,,SOUTH,LAND (RESIDENTIAL),NONE,GB10371,4 MONTHS AGO,59,,,
"Rs. 1,15,00,000 (Negotiable)
(One crore fifteen lakh )",,2667 SQUARE FEET,,6,1,1,4,2.5,SOUTH,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB07568,3 YEARS AGO,5911,NOT FURNISHED,,
"Rs. 18,00,000 (Negotiable)
(18 lakh per aana)","0-3-2-0, 0-5-2-0",,,,,,,,EAST,LAND (RESIDENTIAL),NONE,GB04819,5 YEARS AGO,18100,,,
"Rs. 8,50,00,000 (Negotiable)
(Eight crore fifty lakh )",0-8-3-2,2789 SQUARE FEET,,5,2,1,4,2.5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10770,2 WEEKS AGO,1038,FULLY FURNISHED,,
