price,LAND AREA,HOUSE AREA,,BEDS,LIVING,KITCHEN,BATHROOMS,FLOORS,FACED TOWARDS,CATEGORY,TYPE,CODE,UPDATE,VIEWS,FURNISHING,FLAT AREA,PARKING AREA
"Rs. 1,00,000 (Negotiable)
(One lakh per month)",0-8-0-0,10000 SQUARE FEET,,,,,,,NONE,COMMERCIAL BUILDING (RESIDENTIAL),PILLAR SYSTEM,GB09764,10 MONTHS AGO,338,NOT FURNISHED,,
"Rs. 39,00,000 (Negotiable)
(Thirty Nine Lakh per Aana.)",4-0-0-0,1500 SQUARE FEET,,,,,,,NONE,LAND (RESIDENTIAL),WALL BEARING,GB09258,6 HOURS AGO,203,,,
,2-2-0-0,,,,,,,3,NONE,SCHOOL (RESIDENTIAL),PILLAR SYSTEM,GB10466,4 MONTHS AGO,80,NOT FURNISHED,,
"Rs. 75,00,000 (Negotiable)
(per aana)",0-,,,,,,,,NONE,LAND (RESIDENTIAL),NONE,GB10823,2 DAYS AGO,135,,,
"Rs. 50,000 / month (Negotiable)
(Fifty thousand )",0-,0-7-0-0,,2,1,1,,,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10570,2 MONTHS AGO,45,FULLY FURNISHED,,
"Rs. 1,75,000 (Negotiable)
(One lakh seventy five thousand per month)",0-8-0-0,4000 SQUARE FEET,,5,2,1,4,3,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05859,2 YEARS AGO,4544,FULLY FURNISHED,,
"Rs. 1,95,00,000 (Negotiable)
(One crore ninety five lakh )",0-2-2-0,855 SQUARE FEET,,7,2,2,3,2.5,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB07297,2 YEARS AGO,8984,NOT FURNISHED,,
"Rs. 3,00,000 (Negotiable)
(Three lakh per aana)",5-0-0-0,,,,,,,,WEST,LAND (RESIDENTIAL),NONE,GB03744,4 YEARS AGO,3910,,,
"Rs. 2,60,00,000 (Negotiable)
(Two crore sixty lakh )",0-3-0-0,,,6,,,3,3,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10458,1 MONTH AGO,866,NOT FURNISHED,,
"Rs. 4,25,00,000 (Negotiable)
(Four crore twenty five lakh )",0-5-2-1,,,6,2,2,7,3.5,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB08899,1 YEAR AGO,8364,FULLY FURNISHED,,
"Rs. 95,000 (Negotiable)
(Ninety five thousand per month)",0-5-2-2,,,4,2,1,4,2.5,NORTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB08927,1 YEAR AGO,10273,NOT FURNISHED,,
"Rs. 2,70,00,000 (Negotiable)
(Two crore seventy lakh )",0-3-2-0,3000 SQUARE FEET,,3,2,1,4,2.5,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10299,3 MONTHS AGO,2173,SEMI FURNISHED,,
"Rs. 25,00,000 (Negotiable)
(Twenty five lakh )",1500 SQUARE FEET,,,,,,1,3,NONE,RESTAURANT (RESIDENTIAL),PILLAR SYSTEM,GB10626,1 MONTH AGO,366,FULLY FURNISHED,,
"Rs. 6,00,000 (Negotiable)
(Six lakh )",0-,,,,,,,,NONE,OFFICE SPACE (RESIDENTIAL),PILLAR SYSTEM,GB08217,2 YEARS AGO,2657,NOT FURNISHED,150 SQUARE FEET,
"Rs. 8,64,00,000 (Negotiable)
(Eight crore sixty four lakh )",,,,,,,,,NONE,LAND (COMMERCIAL),PILLAR SYSTEM,GB10634,1 MONTH AGO,5,,,
"Rs. 35,00,000 (Negotiable)
(35 lakh per aana)",0-6-2-0,,,,,,,,WEST,LAND (RESIDENTIAL),PILLAR SYSTEM,GB03957,5 YEARS AGO,2843,,,
"Rs. 1,30,00,000 (Negotiable)",12 KATTHA,12 KATTHA,,4,,,,1,WEST,HOUSE (RESIDENTIAL),NONE,GB10433,4 MONTHS AGO,78,NOT FURNISHED,,
"Rs. 3,25,00,000 (Negotiable)
(Three crore twenty five lakh )",0-3-3-0,,,5,2,2,4,,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB09252,1 YEAR AGO,2740,NOT FURNISHED,2800 SQUARE FEET,
"Rs. 61,00,000 (Negotiable)
(Sixty one lakh )",0-8-0-0,,,,,,,,NONE,LAND (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB10425,4 MONTHS AGO,82,,,
"Rs. 1,20,00,000 (Negotiable)
(One crore twenty lakh )",0-5-2-0,,,6,2,2,5,2.5,NORTH,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB07399,2 YEARS AGO,11867,NOT FURNISHED,,
"Rs. 90,000 (Negotiable)
(90 thousand per month)",0-8-2-0,3200 SQUARE FEET,,4,1,1,4,2,,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB05175,5 YEARS AGO,6212,FULLY FURNISHED,,
"Rs. 3,30,00,000 (Negotiable)
(Three crore thirty lakh )",0-,0-4-0-0,,,,,,,SOUTH-WEST,HOUSE (RESIDENTIAL),NONE,GB10242,5 MONTHS AGO,70,SEMI FURNISHED,,
"Rs. 35,000 (Negotiable)
(Thirty five thousand )",600 SQUARE FEET,,,3,1,1,1,1,NORTH,FLAT (RESIDENTIAL),PILLAR SYSTEM,GB10628,2 WEEKS AGO,693,NOT FURNISHED,,
"Rs. 1,45,00,000 (Negotiable)
(One crore forty five lakh )",0-4-0-0,,,,,,,,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10746,4 WEEKS AGO,46,,,
"Rs. 1,90,00,000 (Negotiable)
(1 crore 90 lakh)",12 DHUR,12 DHUR,,6,2,1,,2,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB04401,6 YEARS AGO,5844,NOT FURNISHED,,
"Rs. 15,00,000
(Fifteen lakh )",0-5-0-0,,,,,,,,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10656,1 MONTH AGO,20,,,
"Rs. 9,000 / month (Negotiable)
(Nine thousand )",,100 SQUARE FEET,,,,,,1,NORTH,SHUTTER/S (RESIDENTIAL),PILLAR SYSTEM,GB10153,6 MONTHS AGO,39,NOT FURNISHED,,
"Rs. 55,000 (Negotiable)
(Fifty five thousand per month)",0-5-1-0,,,,,,,2.5,NORTH-WEST,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB10120,5 MONTHS AGO,2016,SEMI FURNISHED,,
"Rs. 2,05,00,000 (Negotiable)
(Two crore five lakh )",,1042 SQUARE FEET,,2,1,1,2,,EAST,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB09970,8 MONTHS AGO,2412,NOT FURNISHED,,
"Rs. 2,75,00,000 (Negotiable)",0-,,,,,,,,NONE,HOUSE (RESIDENTIAL),NONE,GB10366,5 MONTHS AGO,48,NOT FURNISHED,,
"Rs. 2,55,00,000 (Negotiable)
(Two crore fifty five lakh )",0-3-0-0,0-3-0-0,,7,1,1,,3,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10706,1 MONTH AGO,59,NOT FURNISHED,,
"Rs. 2,75,00,000 (Negotiable)
(3 aana)",0-,,,,,,,,NONE,HOUSE (RESIDENTIAL),NONE,GB10702,1 MONTH AGO,23,NOT FURNISHED,,
"Rs. 29,00,000 (Negotiable)
(Twenty nine lakh )",0-9-2-0,,,,,,,,NORTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10513,3 MONTHS AGO,35,,,
"Rs. 7,25,00,000 (Negotiable)
(Seven crore twenty five lakh )",3422 SQUARE FEET,,,6,1,1,,2.5,NORTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10061,6 MONTHS AGO,124,NOT FURNISHED,,
"Rs. 15,00,000 (Negotiable)
(Fifteen lakh )",0-,,,,,,,,SOUTH-WEST,HOUSE (RESIDENTIAL),NONE,GB10082,7 MONTHS AGO,86,NOT FURNISHED,,
"Rs. 2,20,00,000 (Negotiable)
(Two crore twenty lakh )",0-3-2-0,2020 SQUARE FEET,,6,2,3,3,2.5,NORTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05693,3 YEARS AGO,2880,SEMI FURNISHED,,
,0-31-0-0,,,,,,,,WEST,LAND (RESIDENTIAL),NONE,GB05781,3 YEARS AGO,3096,,,
"Rs. 3,10,00,000 (Negotiable)
(Three crore ten lakh )",1-2-0-0,,,,,,,,WEST,LAND (RESIDENTIAL),NONE,GB06183,4 YEARS AGO,2353,,,
"Rs. 1,00,00,000 (Negotiable)
(One crore )",0-0-3-0,0-3-0-0,,8,,,2,5,EAST,COMMERCIAL BUILDING (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB02627,2 YEARS AGO,4360,SEMI FURNISHED,,
"Rs. 6,00,000 (Negotiable)
(Six lakh )",,1000 SQUARE FEET,,,,,,,NONE,OFFICE SPACE (RESIDENTIAL),PILLAR SYSTEM,GB10154,6 MONTHS AGO,306,FULLY FURNISHED,,
"Rs. 1,70,000 (Negotiable)
(One lakh seventy thousand per annum)",3-12-0-0,,,,,,,,NORTH-EAST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB08903,1 YEAR AGO,2733,,,
,0-9-0-0,0-9-0-0,,7,3,2,,3,NORTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB03537,5 YEARS AGO,4316,SEMI FURNISHED,,
"Rs. 6,30,000 (Negotiable)
(Six lakh thirty thousand )",0-2-2-0,,,,,1,1,,NORTH-EAST,RESTAURANT (COMMERCIAL),PILLAR SYSTEM,GB10708,1 MONTH AGO,353,FULLY FURNISHED,,
"Rs. 1,85,00,000 (Negotiable)
(One crore eighty five lakh )",0-3-0-0,,,4,2,2,4,2.5,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB07085,4 YEARS AGO,6451,NOT FURNISHED,,
"Rs. 2,60,00,000 (Negotiable)
(Two crore sixty lakh )",0-3-2-0,2303 SQUARE FEET,,7,2,2,4,2.5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB09071,1 YEAR AGO,6329,NOT FURNISHED,,
"Rs. 55,00,000 (Negotiable)
(Fifty five lakh )",385 SQUARE FEET,,,1,1,1,1,,NONE,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB10524,1 MONTH AGO,1120,SEMI FURNISHED,,
,24 DHUR,,,,,,,,NORTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB09831,9 MONTHS AGO,2294,SEMI FURNISHED,,
"Rs. 63,00,000 (Negotiable)
(Sixty three lakh per aana)",0-8-2-3,,,,,,,,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10070,7 MONTHS AGO,155,,,
"Rs. 25,00,000 (Negotiable)
(Twenty five lakh per anna)",0-3-3-1,,,,,,,,EAST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB07548,3 YEARS AGO,8913,,,
"Rs. 2,45,00,000 (Negotiable)
(Two crore forty five lakh )",0-3-0-0,,,5,3,2,,2.5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10730,4 WEEKS AGO,76,SEMI FURNISHED,,
"Rs. 17,50,000 (Negotiable)
(Seventeen lakh fifty thousand per aana)",0-3-3-3,,,,,,,,WEST,LAND (RESIDENTIAL),NONE,GB06643,4 YEARS AGO,6914,,,
"Rs. 2,95,00,000 (Negotiable)
(2 crore 95 lakh)",0-5-0-0,,,5,1,1,4,2.5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB04133,5 YEARS AGO,33931,SEMI FURNISHED,,
"Rs. 12,00,000 (Negotiable)
(12 lakh per aana)",0-8-0-0,,,,,,,,EAST,LAND (RESIDENTIAL),PILLAR SYSTEM,GB05724,5 YEARS AGO,2412,,,
"Rs. 23,00,000 (Negotiable)
(23 lakh)",,,,,,1,2,,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05413,5 YEARS AGO,2198,FULLY FURNISHED,,
"Rs. 2,05,00,000 (Negotiable)
(Two crore five lakh )",0-2-3-3,,,,,,,,EAST,LAND (RESIDENTIAL),NONE,GB10567,2 MONTHS AGO,789,,,
"Rs. 28,00,000 (Negotiable)
(Twenty eight lakh )",0-2-5-0,,,,,,,,WEST,RESTAURANT (COMMERCIAL),PILLAR SYSTEM,GB10511,3 MONTHS AGO,320,FULLY FURNISHED,,
"Rs. 20,00,000 (Negotiable)
(Twenty lakh per anna )",7-0-0-0,,,,,,,,NONE,LAND (RESIDENTIAL),NONE,GB09437,1 YEAR AGO,1984,,,
"Rs. 1,70,00,000 (Negotiable)
(One crore seventy lakh )",0-5-0-3,,,,,,,,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10134,6 MONTHS AGO,102,,,
"Rs. 6,35,00,000 (Negotiable)
(Six crore thirty five lakh )",0-5-0-0,0-4-0-0,,5,2,1,6,2.5,NORTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10013,4 MONTHS AGO,3064,NOT FURNISHED,,
"Rs. 4,00,00,000 (Negotiable)",0-6-0-0,,,5,3,1,,3.5,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10170,6 MONTHS AGO,87,NOT FURNISHED,,
"Rs. 3,90,00,000 (Negotiable)
(Three crore ninety lakh )",0-5-2-0,0-3-0-0,,7,3,3,4,3,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB09850,5 MONTHS AGO,125,SEMI FURNISHED,,
"Rs. 25,00,000 (Negotiable)
(25 lakh per anna)",0-6-0-0,,,,,,,,,LAND (RESIDENTIAL),NONE,GB02986,7 YEARS AGO,2273,,,
"Rs. 2,10,00,000 (Negotiable)
(Two crore ten lakh )",0-3-0-2,1700 SQUARE FEET,,4,1,1,3,2.5,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB06598,2 YEARS AGO,18919,SEMI FURNISHED,,
"Rs. 24,000 / month (Negotiable)
(Twenty four thousand )",0-,,,2,1,1,,3,NORTH-WEST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB09798,2 WEEKS AGO,56,NOT FURNISHED,,
"Rs. 35,000 / month (Negotiable)
(Thirty five thousand per month)",0-14-0-0,0-6-0-0,,3,1,1,1,1,NORTH,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB10077,7 MONTHS AGO,116,,,
"Rs. 15,00,000 (Negotiable)
(Fifteen lakh per aana)",0-4-1-3,,,,,,,,WEST,LAND (RESIDENTIAL),NONE,GB10470,2 WEEKS AGO,1166,,,
"Rs. 2,50,00,000 (Negotiable)
(Two crore fifty lakh )",0-3-0-3,0-3-0-3,,4,2,2,4,2.5,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10146,6 MONTHS AGO,97,FULLY FURNISHED,,
"Rs. 1,98,00,000 (Negotiable)
(One crore ninety eight lakh )",0-3-3-3,,,,,,,,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10402,4 MONTHS AGO,108,,,
"Rs. 2,25,00,000 (Negotiable)
(2 Crore 25 Lakh)",0-5-0-0,1761 SQUARE FEET,,3,1,1,3,2.5,SOUTH-EAST,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB05352,4 YEARS AGO,12441,FULLY FURNISHED,,
"Rs. 2,75,00,000 (Negotiable)
(3-0-2)",0-,,,,,,,,SOUTH,HOUSE (RESIDENTIAL),NONE,GB10263,5 MONTHS AGO,51,NOT FURNISHED,,
,7-0-0-0,14400 SQUARE FEET,,16,,2,8,6,EAST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB08363,1 YEAR AGO,3643,NOT FURNISHED,,
"Rs. 3,90,00,000 (Negotiable)
(Three crore ninety lakh )",0-4-0-0,,,5,1,1,7,4.5,SOUTH,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB07424,2 YEARS AGO,4130,NOT FURNISHED,,
"Rs. 60,000 (Negotiable)
(Sixty thousand per month)",1-4-0-0,0-4-0-0,,10,,,2,2.5,EAST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB06987,4 YEARS AGO,2326,NOT FURNISHED,,
"Rs. 45,00,000
(Forty five lakh )",0-6-0-0,,,,,,,,NONE,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB10655,2 WEEKS AGO,1976,,,
"Rs. 80,00,000 (Negotiable)
(Eighty lakh )",0-3-2-0,,,3,4,1,3,3,NORTH,COMMERCIAL BUILDING (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB04751,4 YEARS AGO,9022,NOT FURNISHED,,
"Rs. 2,70,00,000 (Negotiable)
(Two crore seventy lakh )",0-4-0-0,,,4,,,3,2.5,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB08859,2 YEARS AGO,6299,FULLY FURNISHED,,
"Rs. 8,00,000 (Negotiable)
(Eight lakh per aana)",3401 SQUARE METER,,,,,,,,NONE,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB08334,2 YEARS AGO,3773,,,
"Rs. 3,50,00,000 (Negotiable)
(Three crore fifty lakh )",0-5-2-0,,,12,1,6,8,4,SOUTH-WEST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB04723,3 YEARS AGO,4136,NOT FURNISHED,,
"Rs. 5,00,000 (Negotiable)
(Five lakh per month)",2-0-0-0,,,6,2,1,6,3,SOUTH-WEST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB06854,1 YEAR AGO,2926,SEMI FURNISHED,,
"Rs. 6,50,00,000 (Negotiable)
(Six crore fifty lakh )",0-13-0-0,0-6-0-0,,9,2,2,3,2.5,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB02231,2 YEARS AGO,3348,FULLY FURNISHED,,
"Rs. 2,85,00,000 (Negotiable)
(Two crore eighty five lakh )",0-3-2-0,0-3-2-0,,6,2,2,3,2.5,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10145,6 MONTHS AGO,58,SEMI FURNISHED,,
,0-6-0-0,,,,,,,,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10502,3 MONTHS AGO,73,,,
"Rs. 3,50,00,000 (Negotiable)
(Three crore fifty lakh )",128 SQUARE METER,28682868 SQUARE FEET,,5,3,3,,3.5,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10370,4 MONTHS AGO,86,SEMI FURNISHED,,
"Rs. 4,00,00,000 (Negotiable)
(Four crore )",0-4-0-1,,,9,3,3,4,4,EAST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB06778,4 YEARS AGO,2755,NOT FURNISHED,,
"Rs. 3,25,00,000 (Negotiable)
(3 aana 2 paisa)",0-3-2-0,0-3-2-0,,6,2,2,,3.5,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10257,5 MONTHS AGO,79,NOT FURNISHED,,
"Rs. 78,00,000 (Negotiable)
(Per ana)",0-,,,,,,,,SOUTH-EAST,SCHOOL (COMMERCIAL/RESIDENTIAL),WALL BEARING,GB10445,3 MONTHS AGO,113,NOT FURNISHED,,
"Rs. 3,50,000 (Negotiable)
(Three lakh fifty thousand )",,,,,,,,,NONE,HOUSE (RESIDENTIAL),NONE,GB10086,7 MONTHS AGO,39,NOT FURNISHED,,
"Rs. 50,00,000 (Negotiable)
(Fifty lakh )",0-6-1-0,,,,,,,,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10386,4 MONTHS AGO,39,,,
"Rs. 15,00,000 (Negotiable)
(Fifteen lakh )",15 DHUR,,,,,,,,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB09998,8 MONTHS AGO,52,,,
,2-0-0-0,,,10,3,3,6,3,WEST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB05707,5 YEARS AGO,3059,SEMI FURNISHED,,
"Rs. 5,00,00,000 (Negotiable)
(Five crore )",0-22-0-0,,,21,,,,3,SOUTH-EAST,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB05657,5 YEARS AGO,2138,NOT FURNISHED,,
"Rs. 15,50,000 (Negotiable)
(15.5 lakh and 14 lakh per aana)",0-5-2-0 0-3-2-0,,,,,,,,NONE,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB06393,4 YEARS AGO,3636,,,
"Rs. 3,50,00,000 (Negotiable)
(3 Crore 50 Lakh)",0-6-0-0,2100 SQUARE FEET,,3,1,2,3,2.5,SOUTH-EAST,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB05351,5 YEARS AGO,8400,FULLY FURNISHED,,
"Rs. 3,25,00,000 (Negotiable)
(Three Crore Twenty Five Lakhs )",0-4-0-0,3775 SQUARE FEET,,10,4,1,5,3.5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB05833,5 YEARS AGO,5207,SEMI FURNISHED,,
"Rs. 1,70,00,000 (Negotiable)
(One crore seventy lakh )",0-4-0-0,,,8,1,3,4,2.5,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB04607,4 YEARS AGO,20779,SEMI FURNISHED,,
"Rs. 1,50,00,000 (Negotiable)
(One crore fifty lakh )",0-4-0-0,,,2,1,1,1,1,NONE,HOUSE (RESIDENTIAL),WALL BEARING,GB10000,7 MONTHS AGO,118,NOT FURNISHED,,
"Rs. 2,45,00,000 (Negotiable)
(Two crore forty five lakh )",0-3-3-0,,,6,2,2,4,2.5,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB06500,4 YEARS AGO,2831,SEMI FURNISHED,,
"Rs. 36,00,000 (Negotiable)
(Thirty six lakh per aana)",243 SQUARE METER,,,,,,,,NORTH-EAST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB09100,1 YEAR AGO,3590,,,
"Rs. 3,50,000 (Negotiable)
(Three lakh fifty thousand per dhur)",40 DHUR,40 DHUR,,,,,,,NORTH-EAST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB10322,5 MONTHS AGO,72,,,
"Rs. 35,00,000 (Negotiable)
(35 lakh per anna)",0-8-0-0,,,,,,,,,LAND (RESIDENTIAL),NONE,GB02980,7 YEARS AGO,2039,,,
"Rs. 90,000
(Ninety thousand )",3 KATTHA,,,4,2,2,,2,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10451,4 MONTHS AGO,40,,,
"Rs. 2,20,000 (Negotiable)
(2 lak 20 thousand per dhur)",10 DHUR,,,,,,,,EAST,LAND (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB04402,6 YEARS AGO,1703,,,
"Rs. 22,00,000 (Negotiable)
(Twenty Two Lakhs Per Aana)",0-5-1-0,,,,,,,,EAST,LAND (RESIDENTIAL),NONE,GB05818,5 YEARS AGO,3634,,,
"Rs. 4,00,000 (Negotiable)
(Four lakh per anna)",5-8-0-0,,,,,,,,NONE,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB07542,2 YEARS AGO,713,,,
"Rs. 4,50,00,000 (Negotiable)
(Four crore fifty lakh )",1-7-2-0,2100 SQUARE FEET,,6,1,1,,2.5,SOUTH-WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB06472,1 YEAR AGO,4476,NOT FURNISHED,,
"Rs. 240 (Negotiable)
(2 Aana 3 paisa)",0-2-0-3,0-2-3-0,,5,2,2,,2.5,NORTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10399,4 MONTHS AGO,77,FULLY FURNISHED,,
"Rs. 70,00,000
(Seventy lakh )",0-4-2-0,,,,,,,,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10786,2 WEEKS AGO,5,,,
"Rs. 12,00,00,000 (Negotiable)
(Twelve crore )",0-6-1-0,,,,,,,3,NONE,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB03436,4 YEARS AGO,1552,SEMI FURNISHED,,
"Rs. 2,95,000 / month (Negotiable)
(Two lakh ninety five thousand )",0-8-0-0,0-3-0-0,,5,2,1,,2.5,SOUTH,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10256,5 MONTHS AGO,75,FULLY FURNISHED,,
,0-4-0-0,,,,,,,,NONE,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB10073,7 MONTHS AGO,931,NOT FURNISHED,,
"Rs. 65,000 / month (Negotiable)
(Sixty five thousand )",0-3-0-0,,,3,3,1,,2.5,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10582,2 MONTHS AGO,44,FULLY FURNISHED,,
"Rs. 1,87,50,000 (Negotiable)
(1 crore 87 lakh 50 thousand)",0-4-1-3,,,,,,,,EAST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB04446,6 YEARS AGO,2130,,,
"Rs. 35,00,000 (Negotiable)
(Thirty five lakh per aana)",2-8-0-0,,,,,,,,EAST,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB10150,6 MONTHS AGO,128,,,
"Rs. 4,00,00,000 (Negotiable)
(Four crore )",0-4-2-0,2835 SQUARE FEET,,6,2,2,3,4,SOUTH,HOUSE (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB07259,2 YEARS AGO,4340,NOT FURNISHED,,
"Rs. 1,70,00,000 (Negotiable)
(One crore seventy lakh )",0-2-0-2,,,7,1,3,4,3.5,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB03966,2 YEARS AGO,6991,SEMI FURNISHED,,
,0-6-0-0,2053 SQUARE METER,,14,3,4,,3,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10378,4 MONTHS AGO,96,FULLY FURNISHED,,
"Rs. 1,60,00,000 (Negotiable)
(One crore sixty lakh )",0-3-1-0,0-3-1-0,,2,1,1,,1,NONE,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10341,5 MONTHS AGO,87,SEMI FURNISHED,,
"Rs. 1,30,00,000 (Negotiable)
(One crore thirty lakh )",680 SQUARE FEET,,,,,,,,EAST,APARTMENT (RESIDENTIAL),PILLAR SYSTEM,GB09738,11 MONTHS AGO,1881,NOT FURNISHED,,
"Rs. 1,25,000 / month (Negotiable)
(One lakh twenty five thousand )",2-4-0-0,,,,,,,,NONE,LAND (COMMERCIAL/RESIDENTIAL),PILLAR SYSTEM,GB10456,4 MONTHS AGO,37,,,
"Rs. 30,00,000 (Negotiable)
(Thirty lakh )",7 DHUR,,,,,,,,NONE,LAND (RESIDENTIAL),PILLAR SYSTEM,GB10168,6 MONTHS AGO,104,,,
"Rs. 45,00,000 (Negotiable)
(Forty five lakh )",0-3-3-0,,,,,,,,SOUTH,LAND (RESIDENTIAL),NONE,GB10290,2 MONTHS AGO,83,,,
"Rs. 60,00,000 (Negotiable)
(Sixty lakh per aana)",0-4-0-0,,,,,,,,NORTH,LAND (COMMERCIAL/RESIDENTIAL),NONE,GB10820,3 DAYS AGO,233,,,
"Rs. 71,00,000 (Negotiable)
(Total)",0-4-1-1,,,,,,,,SOUTH-EAST,LAND (RESIDENTIAL),NONE,GB10575,2 MONTHS AGO,63,,,
"Rs. 8,00,00,000 (Negotiable)
(Eight crore )",0-8-0-0,4400 SQUARE FEET,,,,,,,EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10276,2 WEEKS AGO,4605,SEMI FURNISHED,,
"Rs. 1,85,00,000 (Negotiable)
(One crore eighty five lakh )",0-4-0-2,,,6,2,2,4,2.5,WEST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB06698,4 YEARS AGO,7528,SEMI FURNISHED,,
