Title,Address,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Build Area,Posted,Amenities
"LAND ON SALE : Land For Sale In Mahankal, Kathmandu","Budhanilkantha, Mahankal, Kathmandu",1950000,0,0,,0,South,,286,0-4-0-0 Ropani,15 Feet,N/A Aana,10 months ago,[]
"Fully Furnished Apartment : Apartment For Rent In Kuleshwor, Kathmandu","Test address, Kuleshwor, Kathmandu",30000,2,1,5.0,1,South,2064.0,790,850 Sq. Feet,20 Feet / Blacktopped,850 Sq. Feet,10 months ago,"['Solar Water', 'TV Cable', 'Drainage', 'Frontyard', 'Garage', 'Garden', 'Water Well', 'Water Supply', 'Balcony', 'Deck', 'Wifi', 'Water Tank', 'Modular Kitchen', 'Fencing', 'Lawn', 'Backyard']"
"House At Sell : House For Sale In Budhanilkantha, Kathmandu","024, Budhanilkantha, Kathmandu",35000000,5,4,3.0,5,East,2076.0,257,2845 Sq. Feet,12 Feet / Blacktopped,3420 Sq. Feet,10 months ago,"['Backyard', 'Balcony', 'Deck', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply']"
"Land Sale : Land For Sale In Madhyapur Thimi, Bhaktapur","madhyapur thimi, Madhyapur Thimi, Bhaktapur",2200000,0,0,,0,South West,,390,04 Aana,13 Feet / Gravelled,N/A Aana,10 months ago,[]
"House For Rent : House For Rent In Baluwatar, Kathmandu","Gayanpunj marg, Baluwatar, Kathmandu",300000,6,3,3.0,8,East,,374,1 Ropani,12 Feet / Blacktopped,3600 Sq. Feet,10 months ago,"['Garage', 'Balcony', 'Frontyard', 'Garden', 'Water Supply', 'TV Cable', 'Solar Water', 'Water Well', 'Water Tank', 'Modular Kitchen', 'Drainage']"
"Land For Sale In Baniyatar, Kathmandu","Nearby Dhaneshor Temple, Baniyatar, Kathmandu",2500000,0,0,0.0,0,East,,295,0-3-0 Ropani,10 Feet / Gravelled,N/A Sq. Feet,10 months ago,[]
"Banasthali Home On Sale : House For Sale In Banasthali, Kathmandu","Banasthali, Banasthali, Kathmandu",25000000,6,0,,1,North East,2018.0,483,4 Aana,16 Feet / Gravelled,2250 Sq. Feet,10 months ago,"['Garage', 'Backyard', 'Balcony', 'Garden', 'Microwave', 'Water Supply', 'Modular Kitchen', 'Water Well', 'Water Tank', 'Solar Water']"
"Flat Vada/ Flat Rent : Apartment For Rent In Kausaltar, Bhaktapur","Tersatar, Kausaltar, Bhaktapur",16000,1,1,3.0,0,East,,1K,20 Aana,20 Feet / Blacktopped,12 Aana,10 months ago,"['Lawn', 'Frontyard', 'Garden', 'Wifi', 'Water Supply']"
"Ghaderi : Land For Sale In Kalaiya, Bara","Test address, Kalaiya, Bara",250000,0,0,0.0,0,West,,349,0-0-10-0 Dhur,10 Feet / Soil Stabilized,N/A Sq. Feet,10 months ago,[]
"1 Storey House On Sale At Makalbari : House For Sale In Makalbari, Kathmandu","Makalbari, Makalbari, Kathmandu",10500000,2,1,1.0,1,South West,2068.0,1.3K,3.2 Aana,12 Feet / Gravelled,750 Sq. Feet,10 months ago,"['Garage', 'Backyard', 'Deck', 'Frontyard', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Well']"
"2 Rooms At Kumaripati : Office Space For Rent In Kumaripati, Lalitpur","Kumaripati, Kumaripati, Lalitpur",22000,3,0,,0,North,,887,500 Sq. Feet,13 Feet,N/A Sq. Feet,10 months ago,[]
"Bafal Home On Sale. : House For Sale In Bafal, Kathmandu","Bafal, Bafal, Kathmandu",13500000,0,2,,0,East,,582,2-2 Aana,12 Feet,N/A Aana,10 months ago,[]
"Land For Sale : Land For Sale In Godawari, Lalitpur","Godawari, Godawari, Lalitpur",1250000,0,0,,0,East,,406,0-8-0-0 Aana,22 Feet / Gravelled,0-8-0-0 Aana,10 months ago,[]
